country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,9.52,12.6,8.7,7.36,6.77,19.6,59.6,69.1,95.8,113,114,191,179,223,225,231,217,162,151,126,117
Argentina,3.71,2.86,2.36,2.32,1.63,4.09,2.33,2.81,2.38,2.4,2.79,2.15,2.97,2.79,3.12,2.28,4.22,0.816,1.14,-0.435,0.0593
Armenia,92.3,53.1,62.5,67.7,70.3,69.3,97.3,83,85.4,57.9,72.8,120,105,182,119,138,93.9,96.9,92,119,112
Azerbaijan,12.4,23.5,15.2,21.4,17.5,28.5,42.9,36.7,21.2,25.1,24.5,26.4,26.8,26.1,17.8,31.3,30.9,-7.52,22.7,7.21,7.94
Bolivia,107,88.8,79,70.8,58.3,88,80.1,107,88,70.5,91.6,50.3,65.5,72.9,72.4,71.8,64.6,67.5,63.9,73.8,64
Chad,40.8,30.4,22.5,23.4,15.7,21.8,25.5,26.9,34.2,38.4,27.9,34.1,39.7,48.5,41.2,37.2,37.4,35,28.9,43.3,43.2
Colombia,4.94,5.02,4.26,7.59,4.62,9.37,10.6,19.1,12.2,14.4,22.6,16.4,21.7,23.2,14.7,21.9,16.3,18.1,25.6,28.1,22.7
Egypt,33.8,30.4,29.3,23.6,19.6,18.3,18,13.7,19.9,13.6,11.6,14.3,20.9,11.9,7.12,4.93,20.7,61.4,38.5,26.7,22.3
India,1.95,1.65,1.58,1.44,1.31,1.61,1.62,0.651,0.691,1.64,1.19,1.13,1.68,2.04,2.3,2.62,1.33,1.92,2.31,2.42,2.02
Mexico,3.05,1.03,0.194,0.364,-0.446,0.958,1.36,1.14,1.32,1.86,2.28,1.07,1.3,1.64,3.94,8.17,3.38,4.59,6.56,2.55,6.35
Moldova,,17.9,10.9,29.4,33.7,32.8,39.5,33,33.3,47.2,62.7,75.6,83.5,68.9,133,130,134,98,146,87.9,92.4
Morocco,23.7,16.9,18.9,23.9,15.5,16.9,12.3,19.6,25.9,24,35.7,39,46,32.7,30.4,43.8,44.1,59.4,65.3,42.6,56.5
Nigeria,1.7,1.76,1.75,1.27,1.42,1.34,2.33,2.35,4.27,46.1,80.2,13.4,8.6,10.6,12.9,11.1,11.5,14.6,14,13.4,13.4
Pakistan,8.25,6.99,8.02,5.52,5.1,13.7,14.6,7.26,9.51,10.5,13.9,14.3,9.17,16.5,17.7,20.1,11.3,12.1,19.5,19.8,15.3
Peru,13.5,15.8,19.8,17.5,15.5,17.3,18.5,18.6,17.2,16.5,16.4,11.1,16.4,15.1,-10.1,20.1,12.8,11.9,10.6,10.7,10.1
Serbia,9.12,12.8,14.3,93.8,151,174,278,175,155,144,213,114,133,85.1,90.7,191,151,109,51.5,44,89.7
Swaziland,33.7,28.3,34.1,27.9,12.4,27.2,20.5,31.4,20,42.2,31,44.5,60.4,47.2,75.8,101,71.8,92.6,66.7,70.2,110
Syria,14.6,13.1,10,14.3,9.74,9.17,3.68,6.8,5.98,3.89,1.05,4.29,7.76,9.78,6.24,16.1,81.9,184,217,261,481
Thailand,13.8,10.2,11.3,16.3,11.1,4.44,4.61,-14.6,0.752,-2.56,-3.3,-4.7,-9.3,-1.13,-0.303,-1.99,-1.94,0.422,5.18,0.855,3.31
Turkey,4.14,0.112,0.458,0.2,5.2,2.08,4.2,2.54,4.31,5.88,8.28,11.4,15.9,19,14.5,44.8,41.7,37.6,44.7,27.4,45.4
Vietnam,12.3,12.9,15,18,21,17.6,15.6,21.4,22,22.7,21.8,29.2,29.4,42.7,33.3,40.5,45.5,44.7,45.6,33.7,30.6
