country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,180,279,233,231,148,118,257,206,233,210,180,260,254,279,227,231,193,148,133,114,118
Argentina,0.267,0.18,0.144,0.166,0.131,0.402,0.755,0.558,0.319,0.251,0.254,0.148,0.17,0.213,0.171,0.0976,0.197,0.0364,0.0537,-0.0186,0.00275
Armenia,91.5,53.2,53.6,61.8,60.6,50.5,57.3,36.8,28.8,11.6,9.4,10.1,6.39,17.5,11.3,14.3,10.1,11.3,11,15.9,17.2
Azerbaijan,10.5,13.6,8.11,14.1,12.9,19.6,16.3,7.81,3.49,3.83,3.32,3.18,2.57,2.78,1.69,2.15,1.9,-0.39,1.12,0.47,0.821
Bolivia,69,44.9,31.6,37.3,31.9,64.4,53.8,88,81.6,47.3,53.5,23.8,21.5,24.2,21.5,15.2,13.8,12,9.72,11.8,9.74
Chad,90.9,75.7,59,89.4,40.7,27.4,19.2,17.7,31,28.1,17.7,19.1,19.5,20,13.3,13.2,12.4,12.1,8.34,19.5,25.4
Colombia,0.874,0.87,0.861,2.72,1.25,2.44,2.62,4.54,2.28,2.11,2.72,1.52,1.7,2.01,1.06,1.27,0.867,0.928,1.23,1.74,1.6
Egypt,17.9,14.6,10.8,8.26,7.02,7.29,8.28,7.26,11.3,6.49,4.52,4.19,4.63,2.71,1.4,1.05,4.05,13.4,8.49,5.26,4.25
India,1.86,1.41,1.44,1.11,1.11,1.34,1.26,0.402,0.304,0.601,0.378,0.261,0.444,0.461,0.42,0.453,0.24,0.389,0.428,0.475,0.388
Mexico,0.329,0.0883,0.0154,0.027,-0.0279,0.0626,0.0886,0.0786,0.0838,0.104,0.113,0.049,0.0552,0.0919,0.192,0.354,0.142,0.196,0.283,0.118,0.317
Moldova,,14.2,9.05,40,39.8,40.3,39.7,25.9,17.5,18.4,20.1,16.1,12.6,19.5,34.6,27.2,27.6,17.7,24.9,21.2,21.7
Morocco,6.15,4.83,4.57,6.34,4.37,4.53,3.17,3.87,4.23,3.88,5.19,4.55,4.02,3.21,3.1,3.97,4.28,5.42,6.34,4.87,5.82
Nigeria,7.39,6.66,7.37,6.04,5.33,5.01,7.22,4.62,8.9,104,95,12.7,7.46,8,3.22,2.71,2.79,3.28,2.76,3.26,4.03
Pakistan,8.64,8.06,9.63,7.63,5.55,15.8,17.6,7.69,8.83,7.74,8.21,8.01,4.59,9.36,10.8,11.6,5.96,6.35,10.1,8.82,6.76
Peru,2.64,2.84,3.87,4.31,3.95,4.8,4.99,4.86,4.17,3.47,2.64,1.4,1.48,1.81,-0.845,1.44,0.813,0.707,0.663,0.727,0.756
Serbia,1.77,2.26,4.59,40.1,164,55.4,61.1,28,15.6,16.4,20.6,7.19,6.53,7.53,9.08,14.8,12.7,9.71,4.75,4.46,8.67
Swaziland,12.1,9.62,11.6,11.3,3.21,7.97,7.22,8.06,4.08,8.47,6.41,9.1,13.5,10.1,14.2,20,15.2,21.3,16,20.1,31.9
Syria,6.55,6.47,4.65,7.7,4.79,3.58,1.43,2.33,2.4,1.34,0.317,0.75,,,,,,,,,
Thailand,1.07,1.21,3.06,3.97,2.48,1.01,0.966,-2.59,0.11,-0.291,-0.362,-0.464,-0.752,-0.13,-0.0235,-0.135,-0.118,0.0249,0.364,0.066,0.254
Turkey,0.552,0.0142,0.0427,0.0228,0.506,0.367,0.54,0.239,0.283,0.295,0.348,0.41,0.505,0.914,0.504,1.26,1.26,1.01,1.27,0.88,1.48
Vietnam,13.5,13.2,14.9,18,18.2,14.1,11,12.6,11.4,9.82,8.08,8.2,7.05,9.49,7.12,8.98,9.69,8.95,8.44,5.9,5.3
