country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,205000000,307000000,222000000,196000000,203000000,637000000,1800000000,1920000000,2580000000,3160000000,3190000000,5030000000,4740000000,6230000000,6280000000,6380000000,6170000000,4740000000,4570000000,4240000000,4060000000
Argentina,150000000,123000000,101000000,90300000,61500000,222000000,123000000,127000000,95700000,95800000,110000000,79300000,102000000,98200000,109000000,81700000,159000000,31700000,42800000,-18900000,3940000
Armenia,367000000,213000000,254000000,273000000,290000000,293000000,393000000,301000000,286000000,187000000,227000000,344000000,287000000,483000000,315000000,359000000,248000000,251000000,235000000,347000000,327000000
Azerbaijan,116000000,234000000,156000000,218000000,175000000,275000000,418000000,340000000,198000000,227000000,220000000,220000000,215000000,219000000,155000000,235000000,227000000,-65200000,194000000,69600000,73800000
Bolivia,960000000,898000000,828000000,752000000,667000000,1050000000,941000000,1130000000,857000000,690000000,882000000,466000000,567000000,652000000,653000000,622000000,595000000,621000000,601000000,791000000,699000000
Chad,343000000,292000000,225000000,244000000,187000000,278000000,317000000,299000000,365000000,417000000,301000000,352000000,396000000,532000000,468000000,409000000,437000000,417000000,348000000,607000000,625000000
Colombia,212000000,244000000,218000000,405000000,264000000,529000000,593000000,1020000000,621000000,722000000,1100000000,747000000,990000000,1070000000,644000000,963000000,728000000,785000000,1090000000,1360000000,1110000000
Egypt,2660000000,2570000000,2610000000,2110000000,1880000000,1800000000,1740000000,1230000000,1700000000,1160000000,946000000,1140000000,1580000000,917000000,551000000,356000000,1580000000,4940000000,3140000000,2500000000,2130000000
India,2060000000,1920000000,1910000000,1640000000,1670000000,2200000000,2180000000,708000000,896000000,1960000000,1410000000,1230000000,1800000000,2310000000,2520000000,2760000000,1400000000,2180000000,2680000000,3170000000,2590000000
Mexico,265000000,112000000,48400000,62400000,-11100000,143000000,190000000,145000000,156000000,230000000,276000000,128000000,156000000,204000000,460000000,906000000,408000000,523000000,729000000,321000000,804000000
Moldova,168000000,84400000,52900000,141000000,168000000,164000000,191000000,145000000,135000000,183000000,234000000,254000000,267000000,226000000,439000000,399000000,430000000,315000000,465000000,313000000,329000000
Morocco,733000000,595000000,677000000,874000000,592000000,691000000,498000000,664000000,804000000,759000000,1090000000,1100000000,1240000000,887000000,867000000,1230000000,1320000000,1770000000,1940000000,1480000000,1980000000
Nigeria,227000000,254000000,265000000,194000000,232000000,234000000,399000000,375000000,637000000,6550000000,11300000000,1840000000,1230000000,1610000000,2010000000,1690000000,1810000000,2360000000,2280000000,2430000000,2550000000
Pakistan,1110000000,1110000000,1200000000,896000000,814000000,2570000000,2710000000,1210000000,1540000000,1750000000,2280000000,2230000000,1420000000,2690000000,2940000000,3190000000,1860000000,2060000000,3320000000,3750000000,3010000000
Peru,387000000,511000000,639000000,514000000,452000000,563000000,620000000,584000000,515000000,493000000,492000000,313000000,421000000,413000000,-129000000,514000000,362000000,333000000,301000000,335000000,327000000
Serbia,77000000,125000000,148000000,1050000000,1720000000,1970000000,2840000000,1580000000,1290000000,1130000000,1630000000,801000000,859000000,555000000,603000000,1160000000,972000000,662000000,313000000,312000000,632000000
Swaziland,35800000,33500000,44200000,36400000,15500000,40400000,28900000,39100000,22500000,45300000,34500000,47900000,64000000,52900000,86800000,113000000,87600000,109000000,81000000,92600000,147000000
Syria,237000000,223000000,182000000,232000000,183000000,236000000,79900000,141000000,117000000,81200000,22500000,74800000,139000000,192000000,128000000,289000000,1430000000,3190000000,3700000000,4890000000,9140000000
Thailand,721000000,610000000,709000000,906000000,597000000,303000000,314000000,-802000000,72600000,-110000000,-174000000,-283000000,-500000000,-39000000,19100000,-82400000,-61600000,42700000,322000000,58700000,217000000
Turkey,258000000,5540000,41200000,40900000,402000000,256000000,383000000,194000000,301000000,415000000,554000000,704000000,920000000,1130000000,845000000,2750000000,2770000000,2440000000,2930000000,2150000000,3610000000
Vietnam,1070000000,1210000000,1420000000,1560000000,1810000000,1850000000,1620000000,1980000000,1860000000,1910000000,1850000000,2360000000,2260000000,3320000000,2590000000,2960000000,3360000000,3590000000,3770000000,3160000000,2780000000
