country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,2.66,2.82,2.83,2.71,-1.05,-10.4,22.1,8.04,2.5,8.61,1.59,10.8,0.117,17.3,5.17,3.85,11.2,1.13,0.837,2.11,2.68
Argentina,4.46,7.05,2.79,-4.45,-1.85,-5.47,-12,7.77,7.92,8.12,7.25,7.44,5.57,-0.276,7.94,7.65,0.761,3.09,-0.622,-0.128,0.367
Armenia,6.08,3.45,7.65,3.35,6.08,10.1,15.6,14.4,10.9,14.3,13.1,13.6,6.69,-15,1.19,3.66,6.92,2.98,4.05,4.29,4.49
Azerbaijan,0.798,5.43,9.73,7.19,10.8,9.58,10.2,10.7,11,23.6,32.8,23.4,9.36,7.86,3.79,-1.15,0.792,4.96,4.13,3.78,2.66
Bolivia,2.2,2.85,3.11,-1.52,0.507,-0.134,0.682,1.1,2.26,2.53,2.62,2.43,4.03,1.34,2.14,3.17,3.21,4.81,3.14,3.04,3.04
Chad,-0.0885,0.991,4.36,-0.907,-2.14,6.6,6.64,11.3,29.7,4.77,-2.29,-2.26,-0.827,-3.61,10.2,-1.92,6.23,1.1,8.09,4.71,2.15
Colombia,0.154,1.57,-1.24,-5.97,1.21,-0.201,0.301,2.26,3.31,3.71,5.43,5.63,2.33,0.459,2.75,5.39,2.99,3.04,3.26,3.25,3.3
Egypt,2.74,3.22,3.44,3.85,3.27,1.47,1.21,1.26,2.19,2.63,4.9,3.74,4.88,2.36,2.74,-0.376,-0.387,0.096,0.251,2.05,2.04
India,5.89,2.9,4.61,4.2,2.54,3.94,1.76,6.67,6.74,6.36,8.01,7.64,5.61,3.61,9.68,6.28,3.35,3,4.05,4.97,5.1
Mexico,3.58,5.31,3.5,2.47,5.17,-1.21,-0.192,0.333,3.16,1.78,3.73,1.57,-0.449,-7.5,3.74,2.62,2.69,-0.082,1.97,2.46,2.73
Moldova,-5.71,1.8,-6.38,-3.32,2.13,6.08,7.73,6.18,7.23,7.28,5.09,3.25,8.05,-5.86,7.21,6.9,-0.709,8.85,3.53,4.53,4.53
Morocco,10,-4.18,5.86,-1.89,-0.762,4.49,1.47,4.35,3.5,0.783,6.58,1.59,4.45,3.64,2.55,3.89,1.64,3.49,2.89,3.87,4.17
Nigeria,2.57,0.439,0.352,-1.86,2.85,5.08,18.4,7.55,7.78,3.9,3.43,3.83,3.65,4.29,5.16,4.73,3.73,3.42,4.27,4.16,4
Pakistan,2.1,-1.53,0.0103,1.15,0.646,-0.845,1.15,2.87,5.44,5.56,3.88,4.92,1.88,-2.64,0.935,0.933,2.26,1.53,1.05,1.67,1.91
Peru,0.371,6.66,-1.59,-0.709,1.52,-1.32,3.4,2.47,1.76,4.95,6.1,6.67,8.13,-0.676,7.14,5.28,4.66,3.42,3.91,4.19,4.19
Serbia,4.73,7.76,2.77,-22.5,4.84,5.03,4.27,2.77,8.68,6.53,4.01,5.83,4.24,-3.11,-1.39,0.69,-1.04,2.46,0.982,1.5,2
Swaziland,0.187,1.73,2.81,0.939,3.11,0.531,-0.256,-0.863,1.99,1.88,3.14,3.15,1.03,-4.36,1.92,0.851,-0.0307,1.35,1.53,1.61,1.4
Syria,3.79,-0.599,4.37,-6,-0.749,0.637,2.81,-1.8,-0.098,1.61,2.5,3.12,1.95,3.35,1.99,-1.95,-1.95,,,,
Thailand,4.65,-2.48,-11.4,3.51,3.96,1.4,4.54,6.08,5.53,3.76,4.41,4.7,1.92,-2.54,7.21,-0.232,6.01,2.36,2.01,3.31,4.34
Turkey,5.01,5.58,1.26,-6.32,5.6,-8.97,6.22,4.23,7.31,5.83,5.62,3.45,-0.587,-6.09,7.73,7.11,0.895,2.11,1.16,1.97,2.4
Vietnam,7.63,6.58,4.33,3.44,5.48,5.64,5.88,6.1,6.66,7.27,6.88,7.18,5.05,4.07,5.52,4.63,4.15,4.33,4.51,4.61,4.7
