country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,7.31,5.88,5.01,4.95,1.74,-7.15,27.1,12.6,6.55,12.4,4.56,13.6,2.5,20.2,8.04,6.98,14.8,4.47,1.74,2.5,4.56
Argentina,5.76,8.34,3.99,-3.38,-0.807,-4.52,-11.1,8.76,8.88,9.08,8.21,8.39,6.5,0.598,8.88,8.59,1.64,3.98,-0.807,6.5,8.21
Armenia,4.41,2.23,6.76,2.74,5.58,9.77,15.4,14.3,11,14.4,13.2,13.7,6.86,-14.8,1.42,3.94,7.22,3.27,5.58,6.86,13.2
Azerbaijan,1.84,6.35,10.6,8.04,11.8,10.7,11.4,12,12.3,25.2,34.6,25.1,10.9,9.35,5.17,0.119,2.04,6.21,11.8,10.9,34.6
Bolivia,4.48,5.09,5.32,0.549,2.59,1.9,2.7,3.08,4.2,4.4,4.42,4.16,5.73,2.97,3.77,4.81,4.85,6.46,2.59,5.73,4.42
Chad,3.07,4.2,7.74,2.41,1.25,10.4,10.6,15.4,34.3,8.21,0.687,0.528,1.87,-1.05,13.2,0.683,9.04,3.76,1.25,1.87,0.687
Colombia,1.97,3.39,0.494,-4.34,2.92,1.45,1.93,3.89,4.93,5.31,7.03,7.22,3.83,1.91,4.2,6.83,4.36,4.37,2.92,3.83,7.03
Egypt,4.49,4.98,5.23,5.68,5.12,3.33,3.1,3.17,4.11,4.54,6.83,5.63,6.76,4.18,4.55,1.36,1.33,1.79,5.12,6.76,6.83
India,7.87,4.79,6.48,6.02,4.28,5.66,3.41,8.36,8.39,7.97,9.62,9.22,7.13,5.07,11.2,7.75,4.76,4.37,4.28,7.13,9.62
Mexico,5.36,7.09,5.19,4.07,6.71,0.147,1.09,1.57,4.42,3.05,5.05,2.88,0.833,-6.33,5.03,3.86,3.9,1.06,6.71,0.833,5.05
Moldova,-6.38,0.871,-7.41,-4.56,0.652,4.36,5.82,4.24,5.35,5.57,3.64,2.04,6.98,-6.7,6.32,6.06,-1.43,8.12,0.652,6.98,3.64
Morocco,11.6,-2.83,7.29,-0.63,0.455,5.71,2.6,5.47,4.59,1.82,7.67,2.61,5.49,4.67,3.57,4.93,2.66,4.53,0.455,5.49,7.67
Nigeria,4.99,2.8,2.72,0.474,5.32,7.64,21.4,10.2,10.5,6.51,6.03,6.45,6.27,6.93,7.84,7.41,6.39,6.07,5.32,6.27,6.03
Pakistan,4.82,1.12,2.66,3.68,2.97,1.24,3.11,4.74,7.31,7.45,5.76,6.83,3.74,-0.864,2.77,2.77,4.11,3.36,2.97,3.74,5.76
Peru,2.15,8.5,0.0493,0.873,3.05,0.0775,4.78,3.77,2.99,6.17,7.28,7.81,9.27,0.377,8.3,6.45,5.85,4.61,3.05,9.27,7.28
Serbia,5.19,7.82,2.51,-22.8,4.32,4.44,3.61,2.12,8.09,6.1,3.79,5.8,4.33,-3.01,-1.34,0.667,-1.12,2.34,4.32,4.33,3.79
Swaziland,3.52,3.75,3.32,3.69,2.3,1.69,2.75,2.47,2.52,3.16,2.9,14.2,3.5,1.64,2.28,0.525,2.08,2.96,2.3,3.5,2.9
Syria,6.33,1.71,6.78,-3.7,1.9,3.57,5.99,1.25,2.84,4.32,4.92,5.3,3.91,5.23,3.8,-0.239,-0.286,,1.9,3.91,4.92
Thailand,5.72,-1.38,-10.4,4.77,5.2,2.59,5.76,7.28,6.65,4.76,5.31,5.5,2.63,-1.91,7.86,0.34,6.58,2.88,5.2,2.63,5.31
Turkey,6.72,7.28,2.86,-4.88,7.17,-7.66,7.7,5.66,8.76,7.26,7.04,4.84,0.735,-4.87,9.09,8.42,2.09,3.27,7.17,0.735,7.04
Vietnam,9.25,7.99,5.58,4.61,6.65,6.81,7.04,7.26,7.82,8.44,8.05,8.37,6.22,5.22,6.67,5.75,5.25,5.41,6.65,6.22,8.05
