country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,340,345,348,350,355,360,365,377,364,389,398,440,445,525,553,569,630,634,630,620,618
Argentina,7960,8500,8730,8340,8180,7740,6820,7340,7910,8520,9110,9830,10100,9430,10300,10800,10600,10700,10300,10500,10200
Armenia,1120,1170,1270,1320,1400,1550,1760,2020,2240,2570,2930,3370,3630,3140,3220,3370,3610,3710,3830,3940,3930
Azerbaijan,1220,1280,1390,1480,1630,1780,1960,2160,2360,2950,3920,4850,5260,5640,5840,5770,5820,6080,6120,6120,5860
Bolivia,1540,1580,1630,1610,1620,1610,1620,1640,1680,1720,1770,1820,1900,1930,1980,2050,2120,2230,2320,2390,2460
Chad,479,489,505,484,463,497,519,573,738,835,812,811,809,816,897,868,914,935,967,963,875
Colombia,4860,4950,4900,4630,4760,4770,4830,4950,5140,5310,5600,5910,6050,6080,6250,6590,6790,7050,7290,7450,7530
Egypt,1710,1770,1810,1890,1950,1980,1990,2020,2060,2110,2220,2330,2460,2520,2600,2590,2590,2590,2610,2670,2730
India,657,671,699,747,762,785,802,850,903,971,1040,1130,1160,1240,1350,1420,1470,1550,1650,1760,1860
Mexico,7890,8300,8590,8690,9000,8840,8730,8750,8980,9060,9330,9390,9350,8710,9020,9210,9410,9400,9540,9720,9870
Moldova,1030,1050,978,946,968,1030,1110,1190,1280,1380,1450,1500,1620,1520,1630,1740,1730,1890,1990,1980,2070
Morocco,1910,1850,1960,1960,1970,2090,2130,2230,2310,2360,2510,2570,2690,2770,2830,2940,2990,3080,3110,3210,3200
Nigeria,1270,1280,1280,1250,1290,1310,1330,1430,1860,1880,1980,2060,2130,2220,2330,2380,2410,2480,2560,2560,2460
Pakistan,834,822,822,833,849,847,855,878,924,975,1010,1040,1040,1050,1040,1050,1060,1080,1110,1140,1180
Peru,3180,3330,3270,3270,3310,3290,3420,3520,3650,3830,4070,4360,4700,4700,5020,5270,5520,5770,5830,5940,6090
Serbia,3230,3480,3570,3150,3410,3580,3840,4020,4390,4650,4900,5210,5510,5360,5410,5530,5500,5670,5590,5660,5850
Swaziland,2880,2900,2920,2950,2950,2950,3060,3160,3250,3410,3570,3670,3630,3620,3690,3700,3810,3980,3980,3920,3910
Syria,38200,39300,40900,42700,44700,45300,46100,47000,48800,50000,52000,53400,52700,49600,52100,53100,52500,52700,53600,55400,56500
Thailand,3690,3550,3240,3350,3460,3540,3730,3970,4190,4340,4530,4740,4800,4740,5080,5090,5440,5560,5590,5740,5910
Turkey,7730,8190,8240,7840,8240,7630,8000,8330,9010,9690,10300,10600,10600,9970,10700,11700,12100,12900,13300,13900,14100
Vietnam,626,667,697,721,762,800,842,892,950,1010,1070,1140,1190,1240,1310,1380,1430,1490,1570,1650,1740
