country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,1520,1400,1290,1190,1090,980,1440,1520,1480,1530,1590,1750,1810,2080,2230,2270,2450,2380,2290,2200,2150
Argentina,22200,22800,22700,22000,21700,21000,19100,19300,20100,21200,22200,23700,24500,22800,25200,25700,25200,25600,24900,25200,24700
Armenia,3000,3180,3370,3560,3810,4200,4790,5490,6100,6980,7960,9120,9810,8410,8280,8460,8970,9060,9550,10000,9980
Azerbaijan,3210,3370,3660,3890,4210,4470,4790,5150,5460,6680,8720,10600,11400,12200,12600,12400,12400,12900,12900,12800,12200
Bolivia,3850,3800,3930,3890,3900,3890,3870,3830,3860,3940,3990,4170,4200,4260,4320,4440,4750,4950,4940,5450,5540
Chad,1360,1390,1440,1380,1320,1430,1490,1650,2130,2410,2340,2340,2330,2350,2580,2490,2620,2670,2760,2710,2430
Colombia,14600,14600,14600,14300,14400,13200,13200,13000,13200,13000,13600,13800,13900,13800,13800,14200,14300,14700,15000,15200,15400
Egypt,6710,6920,7060,7040,7330,7470,7570,7590,7540,7670,7870,7890,8190,8380,8820,8870,8940,8980,9190,9560,9770
India,1780,1820,1900,2020,2070,2110,2130,2230,2350,2490,2710,2970,3080,3320,3650,3870,4050,4230,4470,4730,4980
Mexico,20900,21000,21500,21700,22400,22100,21700,21800,22000,22100,22400,22600,22500,21300,22000,22300,22400,22300,22600,22600,22600
Moldova,2570,2640,2460,2380,2350,2460,2630,2810,3000,3260,3500,3620,3980,3960,4380,4600,4680,5000,5190,4840,5220
Morocco,7290,6860,7410,6860,6810,7090,7140,7390,7490,7640,8020,8170,8540,8700,8870,9170,9410,9700,9840,10100,10100
Nigeria,4290,4300,4310,4220,4340,4420,4470,4820,6310,6350,6700,6980,7220,7510,7880,8040,8160,8360,8730,8700,8580
Pakistan,3080,3000,2980,2990,3040,3040,3050,3090,3150,3240,3230,3280,3260,3240,3180,3200,3240,3310,3350,3420,3460
Peru,8010,8090,7880,7690,7910,7480,7570,7510,7610,7800,8050,8450,9020,8880,9320,9780,10200,10700,10800,11200,11400
Serbia,6460,7030,7260,6400,6900,7330,8010,8550,9770,10700,11200,11500,11700,12000,12900,13700,13700,13500,12700,12800,12300
Swaziland,12800,13000,13100,13200,13200,13200,13700,14200,14600,15400,16100,16500,16100,15800,15800,15600,15700,16200,16300,15900,15000
Syria,3340,3240,3340,3120,3150,3280,3410,3230,3430,3600,3660,3790,3900,4030,4100,4200,3390,2680,2800,2780,2700
Thailand,6760,6430,6030,6240,6350,6450,6700,7080,7420,7610,7950,8250,8300,8220,8730,8640,9250,9630,9740,10200,10500
Turkey,23200,25000,25000,23800,26000,24600,26400,28100,31000,33000,34700,35900,35400,33600,34300,35800,36600,38400,39700,40800,40800
Vietnam,1270,1350,1390,1420,1480,1540,1590,1670,1760,1850,1950,2050,2120,2200,2290,2370,2440,2540,2640,2790,2950
