country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,100,120,130,150,170,180,190,200,210,250,270,330,360,460,500,560,670,680,650,600,580
Argentina,7700,8110,7990,7540,7440,6960,3930,3550,3560,4600,5450,6470,7610,7730,9170,10600,11800,12800,12300,12300,11900
Armenia,520,560,590,610,660,710,800,960,1170,1540,2020,2760,3600,3330,3470,3530,3880,4120,4150,4030,3770
Azerbaijan,400,450,510,570,610,660,720,820,950,1270,1890,2710,3900,4830,5410,5560,6480,7450,7700,6550,4760
Bolivia,910,960,1000,980,990,960,930,920,970,1030,1120,1240,1490,1640,1810,2010,2280,2620,2870,3000,3080
Chad,200,210,220,200,180,190,190,210,340,470,530,630,700,830,910,890,960,980,980,890,720
Colombia,2470,2590,2510,2280,2320,2300,2330,2340,2580,2920,3430,4070,4660,5090,5540,6180,7140,7760,7970,7130,6350
Egypt,1000,1110,1180,1290,1390,1410,1330,1260,1200,1210,1300,1510,1810,2090,2330,2520,2790,2990,3180,3310,3410
India,400,410,410,430,440,450,450,510,600,700,790,920,1000,1110,1220,1380,1480,1520,1560,1600,1680
Mexico,4350,4340,4630,5170,5830,6280,6640,7030,7530,7790,8350,9140,9650,8760,8930,9140,9810,10000,10200,9860,9010
Moldova,,500,460,400,370,400,460,570,730,890,1030,1160,1500,1570,1820,1990,2140,2470,2560,2230,2140
Morocco,1510,1460,1450,1410,1390,1390,1370,1540,1830,2060,2240,2370,2690,2880,2930,3000,2970,3080,3050,3010,2880
Nigeria,230,280,270,280,270,310,350,410,610,670,850,980,1160,1160,1470,1730,2480,2700,2980,2850,2450
Pakistan,500,490,470,460,490,500,510,560,640,730,820,910,1010,1060,1080,1150,1260,1360,1390,1430,1500
Peru,2180,2310,2190,2070,2010,1940,1990,2110,2310,2570,2820,3220,3780,3940,4360,4880,5670,6270,6340,6160,5950
Serbia,1530,2850,2800,2390,1530,1450,1430,2260,3070,3630,3970,4580,5650,6040,5850,5910,5700,6050,5840,5540,5300
Swaziland,1860,1880,1660,1640,1580,1610,1480,1600,2020,2870,3050,3190,3050,2980,3070,3570,3930,4010,3670,3280,2960
Syria,850,850,920,890,970,1110,1210,1240,1380,1510,1640,1840,1850,1860,1880,1900,1920,1920,1950,1990,2000
Thailand,2950,2680,2080,1980,1980,1960,1990,2180,2530,2790,3100,3520,3970,4140,4580,4950,5520,5720,5760,5710,5700
Turkey,2920,3190,3430,3580,4300,3550,3560,3910,5220,6760,7820,8880,9770,9580,10400,11200,11900,12500,12600,12000,11200
Vietnam,290,330,340,350,410,430,450,500,580,630,720,830,980,1100,1250,1360,1530,1710,1860,1950,2060
