country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,600,630,650,680,700,800,870,920,920,1010,1070,1210,1250,1490,1590,1680,1900,1940,1950,1940,1970
Argentina,10500,11400,11800,11500,11500,11100,9480,10500,11700,13300,14700,16400,17300,16100,17700,19100,19100,19700,19400,19600,19300
Armenia,1780,1950,2080,2190,2380,2690,3130,3650,4150,4970,5870,6960,7690,6590,6890,7270,7950,8490,8790,9090,9020
Azerbaijan,2420,2630,2890,3110,3340,3710,4120,4650,5100,6280,8570,10600,12400,13800,14700,14700,15300,16300,17100,17100,16100
Bolivia,3050,3180,3330,3320,3400,3480,3550,3610,3770,4020,4280,4510,4830,4910,5070,5330,5540,5910,6320,6720,7100
Chad,760,780,830,800,780,850,890,860,1150,1350,1340,1410,1400,1630,1820,1820,1950,1980,2090,2130,1990
Colombia,6160,6380,6410,6150,6440,6580,6740,6990,7460,7950,8640,9350,9740,9890,10300,11000,11600,12300,13000,13600,14000
Egypt,4850,5130,5310,5600,5910,6150,6210,6400,6710,7100,7750,8400,9010,9260,9470,9570,9770,9900,10200,10600,11000
India,1580,1640,1730,1880,1960,2070,2140,2320,2530,2810,3110,3470,3620,3900,4270,4600,4860,5190,5610,6060,6500
Mexico,8100,8750,9090,9590,10200,10200,10300,10500,11200,12000,13000,13900,14500,14200,14900,16000,16400,16400,17100,16900,17200
Moldova,1880,1940,1830,1790,1870,2130,2340,2680,2990,3300,3570,3700,4090,3730,4150,4520,4700,5210,5540,5410,5720
Morocco,3140,3100,3340,3390,3480,3780,3930,4200,4490,4750,5200,5480,5850,6000,6230,6580,6780,7140,7270,7620,7710
Nigeria,1960,2000,1970,2060,1960,2130,2170,2350,3150,3250,3890,3980,4200,4340,4780,4970,5180,5390,5780,5880,5740
Pakistan,2540,2530,2560,2630,2740,2790,2920,3130,3350,3650,3900,4110,4190,4280,4360,4500,4680,4860,5090,5310,5560
Peru,4540,4850,4860,4930,5090,5200,5460,5670,5930,6340,6810,7520,8340,8450,9040,9670,10500,11300,11600,12100,12500
Serbia,,5570,5770,5150,5730,6150,6770,7150,8000,8600,9480,10300,11600,11600,11800,12700,12700,13200,13200,13200,13700
Swaziland,4580,4690,4560,4770,4720,5050,4990,5140,5550,6340,6500,6910,6890,6790,6780,7280,7630,8220,8310,8340,8310
Syria,23300,24200,25300,27100,29300,29700,30700,32100,33800,34500,38500,41900,43400,40700,42900,44700,45800,46700,47500,48500,49500
Thailand,7090,6900,6310,6680,7140,7420,7870,8490,9190,9800,10600,11500,11800,11800,12700,13200,14000,14300,14900,15400,16100
Turkey,7890,8490,8990,8640,9440,8990,9150,9430,10700,11800,13500,14700,15900,15300,17300,19500,20500,22100,23800,24600,25000
Vietnam,1540,1660,1760,1860,2160,2330,2490,2680,2950,2980,3240,3510,3740,3880,4150,4430,4710,4980,5280,5610,6040
