country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,904,930,956,982,972,871,1060,1100,1060,1140,1160,1290,1300,1530,1610,1660,1840,1810,1780,1750,1740
Argentina,14500,15500,15900,15200,14900,14100,12400,13400,14400,15500,16600,17900,18400,17200,18700,19600,19200,19500,18800,19100,18500
Armenia,2340,2440,2640,2740,2930,3220,3670,4210,4670,5360,6110,7010,7560,6530,6700,7020,7510,7730,7970,8180,8170
Azerbaijan,3330,3490,3800,4050,4460,4860,5340,5890,6440,8050,10700,13200,14400,15400,16000,15800,15900,16600,16700,16700,16000
Bolivia,4200,4320,4450,4390,4410,4400,4430,4470,4580,4700,4840,4970,5190,5280,5410,5600,5790,6090,6330,6530,6710
Chad,1030,1050,1090,1040,993,1070,1120,1230,1590,1790,1740,1740,1740,1750,1930,1860,1960,2010,2080,2050,1850
Colombia,8480,8630,8550,8070,8310,8330,8420,8630,8960,9260,9760,10300,10500,10600,10900,11500,11800,12300,12700,13000,13200
Egypt,6480,6710,6860,7140,7390,7510,7540,7640,7800,8000,8400,8840,9310,9560,9860,9820,9820,9810,9880,10100,10300
India,2150,2200,2290,2450,2500,2570,2620,2780,2960,3180,3420,3700,3790,4050,4410,4640,4830,5070,5390,5750,6090
Mexico,13200,13900,14300,14500,15000,14700,14600,14600,15000,15300,15800,16000,16000,15000,15500,15900,16300,16300,16500,16700,16800
Moldova,2460,2510,2340,2270,2320,2470,2670,2850,3070,3310,3480,3590,3880,3650,3910,4180,4150,4540,4760,4750,4940
Morocco,4340,4210,4460,4450,4480,4750,4840,5070,5250,5360,5700,5830,6110,6290,6440,6690,6790,7000,7070,7290,7270
Nigeria,2820,2820,2830,2770,2850,2900,2940,3160,4120,4150,4370,4550,4710,4910,5150,5260,5340,5480,5670,5670,5440
Pakistan,3430,3380,3390,3430,3500,3490,3520,3620,3810,4010,4180,4290,4270,4300,4280,4310,4370,4460,4580,4700,4870
Peru,6300,6600,6480,6480,6560,6520,6780,6980,7230,7600,8070,8650,9320,9310,9960,10400,10900,11400,11500,11800,12100
Serbia,7580,8150,8380,7390,7990,8400,9000,9420,10300,10900,11500,12200,12900,12600,12700,13000,12900,13300,13100,13300,13700
Swaziland,5700,5740,5770,5830,5840,5840,6050,6250,6430,6750,7060,7250,7180,7160,7300,7320,7530,7900,8080,8050,7730
Syria,5250,5390,5620,5290,5190,5230,5470,5340,5550,5740,5890,6090,6250,6500,6600,6360,6300,5000,4300,3500,3300
Thailand,9800,9420,8600,8890,9190,9420,9910,10500,11100,11500,12000,12600,12800,12600,13500,13500,14400,14800,14900,15200,15700
Turkey,13000,13800,13900,13200,13900,12800,13500,14000,15200,16300,17300,17900,17800,16800,18000,19700,20300,21700,22400,23400,23700
Vietnam,2200,2340,2440,2520,2650,2780,2920,3090,3280,3490,3690,3910,4090,4260,4490,4720,4910,5120,5370,5670,5960
